file,rank,name,price,capacity,rakutenUrl,楽天商品名,楽天価格,URL一致
ballpoint-pen-comparison.md,1,ジェットストリーム 名入れ 多機能ボールペン 4色,880,1本（4色ボールペン+シャープペンシル）,https://hb.afl.rakuten.co.jp/hgc/g00q656n.3rdw61ae.g00q656n.3rdw7d60/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbunbougu-shibuya%2Fmsxe5-1000-05n%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbunbougu-shibuya%2Fi%2F10074288%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ジェットストリーム 名入れ ボールペン 4&1 三菱鉛筆 uni 多機能ボールペン 0.5 0.7 0.38ボール+0.5シャープ MSXE5-1000 4＆1 名前入りボールペン 仕事 学生 安心ブランド 定番 記念品 1000円前後 ギフト プレゼント 文房具 名前入れ可能 [ギフトケース付][M便 1/15],880,○
ballpoint-pen-comparison.md,2,サラサグランド ビンテージ ジェルボールペン,1200,1本（ゲルインク）,https://hb.afl.rakuten.co.jp/hgc/g00q020n.3rdw6d49.g00q020n.3rdw75a0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fogawahan%2F10008119%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fogawahan%2Fi%2F10008119%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【名いれ無料】ZEBRA ゼブラ サラサグランド ビンテージ 名入れ ボールペン ジェルボールペン 高級 プレゼント,1200,○
ballpoint-pen-comparison.md,3,クロス カレイ ボールペン,2640,1本（替え芯対応）,https://hb.afl.rakuten.co.jp/hgc/g00qm7tn.3rdw6475.g00qm7tn.3rdw747f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-youstyle%2Fcr-at0112-1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-youstyle%2Fi%2F10044341%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【P5倍要エントリー】 名入れ ボールペン クロス CROSS ボールペン カレイ CALAIS AT0112 油性ボールペン ギフト 誕生日祝い 進級祝い 記念日 高級筆記具 文房具 プレゼント 名前入り 名入り,2640,○
ballpoint-pen-comparison.md,4,パーカー IM ボールペン,3470,1本（替え芯対応）,https://hb.afl.rakuten.co.jp/hgc/g00rviqn.3rdw6978.g00rviqn.3rdw793e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fnaireya%2Fparkerim%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fnaireya%2Fi%2F10000000%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【P5倍要エントリー】 名入れ ボールペン パーカー PARKER IM 油性ボールペン 全14色 ギフト プレゼント 誕生日 就職 オフィス おしゃれ シンプル 文房具 事務用品 ファッション 新学期 勉強 学生用品 先生へ 上司へ 名前入り 名入り,2679,△(別商品)
bath-additive-comparison.md,1,バブ 厳選4種類の香りセレクトBOX 56錠,4273,56錠（56回分）,https://hb.afl.rakuten.co.jp/hgc/g00un3nn.3rdw669e.g00un3nn.3rdw7b90/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffukuroku-1%2Figpebstvhfft2z4dc6iwkue5py%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ffukuroku-1%2Fi%2F10126004%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【大容量】 バブ 厳選4種類の香りセレクトBOX 薬用 56錠 炭酸 入浴剤 詰め合わせ [医薬部外品],4273,○
bath-additive-comparison.md,2,バスクリン 大容量 600g×3個,2465,600g×3個（約60回分）,https://hb.afl.rakuten.co.jp/hgc/g00sa3qn.3rdw64a4.g00sa3qn.3rdw76a8/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshopavail%2F1789%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshopavail%2Fi%2F10001642%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
bath-additive-comparison.md,3,【1種類を選べる】きき湯 炭酸湯【きき湯】[炭酸入浴剤 薬用 温泉 風呂 温浴,1980,360g×3,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F405199%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F11231979%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【1種類を選べる】きき湯 炭酸湯(360g×3セット)【きき湯】[炭酸入浴剤 薬用 温泉 風呂 温浴 発泡 炭酸 症状 ケア],1980,○
bath-additive-comparison.md,4,エプソムソルト 3kg,1720,3kg（約20回分）,https://hb.afl.rakuten.co.jp/hgc/g00r4tyn.3rdw66a6.g00r4tyn.3rdw770c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-epsomsalt%2Fesc-3kg%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-epsomsalt%2Fi%2F10000221%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【公式】 国産 エプソムソルト オリジナル 3kg 入浴剤 無添加 無香料 マグネシウム シークリスタルス バスソルト 食品添加物グレード 計量スプーン付,1720,○
bathroom-cleaner-comparison.md,1,バスマジックリン エアジェット 詰め替え 大容量 820mL×2袋,722,820mL×2袋（約240回分）,https://hb.afl.rakuten.co.jp/hgc/g00ugynn.3rdw6d73.g00ugynn.3rdw7c64/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakutensokuhaimart%2F4901301453242%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakutensokuhaimart%2Fi%2F10028927%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
bathroom-cleaner-comparison.md,2,ルック バスタブクレンジング 詰め替え 大容量 800mL,3262,800mL（約120回分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F85253%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10966194%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ライオン ルック＋バスタブクレンジング 銀イオン＋ハーバルグリーン 詰め替え 大容量 800ml,380,△(別商品)
